final_module_id	ENTREZID	SYMBOL	final_module_label	module_direction	locked_entrez_present	any_ensembl_mapping	matched_by_ensembl	matched_by_symbol	matched_ensembl_ids	all_mapped_ensembl_ids
VIR_M2	3802	KIR2DL1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000125498	ENSG00000125498;ENSG00000273510;ENSG00000273794;ENSG00000274692;ENSG00000274782;ENSG00000274926;ENSG00000275080;ENSG00000275196;ENSG00000275276;ENSG00000275522;ENSG00000275750;ENSG00000276310;ENSG00000276387;ENSG00000276625;ENSG00000276820;ENSG00000277356;ENSG00000277616;ENSG00000277833;ENSG00000278207;ENSG00000278248;ENSG00000278495;ENSG00000278503;ENSG00000278738;ENSG00000278755;ENSG00000278805;ENSG00000278821;ENSG00000283723;ENSG00000284100;ENSG00000284145;ENSG00000284347;ENSG00000284401;ENSG00000284514;ENSG00000284530;ENSG00000284551
VIR_M2	3806	KIR2DS1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	FALSE	FALSE	""	ENSG00000273517;ENSG00000273603;ENSG00000275306;ENSG00000275421;ENSG00000275921;ENSG00000276327;ENSG00000278120;ENSG00000278304;ENSG00000283937;ENSG00000284120;ENSG00000284150;ENSG00000284560
VIR_M2	3810	KIR2DS5	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	FALSE	FALSE	""	ENSG00000274243;ENSG00000274563;ENSG00000274739;ENSG00000275047;ENSG00000276676;ENSG00000277650;ENSG00000284217;ENSG00000288206;ENSG00000288357
VIR_M2	3811	KIR3DL1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000167633	ENSG00000167633;ENSG00000273518;ENSG00000273775;ENSG00000274036;ENSG00000274146;ENSG00000274920;ENSG00000274948;ENSG00000275288;ENSG00000275486;ENSG00000275545;ENSG00000275659;ENSG00000275717;ENSG00000275786;ENSG00000276329;ENSG00000276379;ENSG00000276423;ENSG00000276501;ENSG00000277175;ENSG00000277272;ENSG00000278079;ENSG00000278368;ENSG00000278427;ENSG00000278856;ENSG00000283729;ENSG00000283731;ENSG00000283827;ENSG00000283954;ENSG00000284093;ENSG00000284177;ENSG00000284342;ENSG00000284426;ENSG00000284589
VIR_M2	3813	KIR3DS1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	FALSE	FALSE	""	ENSG00000274283;ENSG00000274465;ENSG00000275037;ENSG00000275434;ENSG00000275608;ENSG00000276498;ENSG00000276534;ENSG00000283719;ENSG00000283889;ENSG00000284111
VIR_M2	3976	LIF	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000128342	ENSG00000128342
VIR_M1a	403313	PLPP6	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000205808	ENSG00000205808
VIR_M1a	4063	LY9	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000122224	ENSG00000122224
VIR_M2	4088	SMAD3	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000166949	ENSG00000166949
BACT_M2	4191	MDH2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	TRUE	TRUE	TRUE	FALSE	ENSG00000146701	ENSG00000146701
