requested_entrez	final_module_id	final_module_label	module_direction	requested_symbol	mapped	mapping_rule	rescued_by_entrez	accepted_probe_count	accepted_probe_ids	selected_probe_id	selected_platform_symbol	selected_platform_entrez	selected_probe_mean_expression	selected_probe_median_expression	selected_probe_expression_variance	selected_probe_expression_sd	median_tie_count	selection_rule	selection_reference_population	representative_probe_frozen
59	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	ACTA2	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1671703	ILMN_1671703	ACTA2	59	7.8376118709589	7.833043507	0.605151195866906	0.777914645617953	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
575	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	ADGRB1	TRUE	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	4	ILMN_1729529;ILMN_1763869;ILMN_1779510;ILMN_1797130	ILMN_1729529	BAI1	575	5.97631615760274	5.995753761	0.0195509202876653	0.13982460544434	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
9582	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	APOBEC3B	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_2219466	ILMN_2219466	APOBEC3B	9582	6.14649124817123	6.1318542415	0.0795069358436498	0.281969742780409	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
200316	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	APOBEC3F	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	4	ILMN_1702706;ILMN_1710726;ILMN_2296950;ILMN_2412172	ILMN_2296950	APOBEC3F	200316	7.30479982407534	7.2473279915	0.184768144506427	0.429846652315016	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
164668	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	APOBEC3H	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1664828	ILMN_1664828	APOBEC3H	164668	6.33830235956849	6.2526991435	0.0985723301067922	0.313962306824867	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
481	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	ATP1B1	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	3	ILMN_1658071;ILMN_1730291;ILMN_2407824	ILMN_2407824	ATP1B1	481	6.25465086671918	6.2306481195	0.0209006699653696	0.144570640053123	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
558	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	AXL	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	ILMN_1701877;ILMN_2364521	ILMN_2364521	AXL	558	6.03663328828082	6.0000838655	0.0695869719897528	0.263793426737197	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
64343	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	AZI2	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1733680	ILMN_1733680	AZI2	64343	6.75400669830822	6.7058752865	0.12806197289559	0.357857475673752	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
596	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	BCL2	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	4	ILMN_1701120;ILMN_1801119;ILMN_2246956;ILMN_2363250	ILMN_2246956	BCL2	596	7.76421646059589	7.784811615	0.382450510814014	0.6184258329129	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
640	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	BLK	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1668277	ILMN_1668277	BLK	640	8.00989971618493	8.072631763	0.454333401427731	0.674042581316441	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
