SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
ADAM21	ADAM21	8747	2690368	ILMN_1812112	-8.589012
ADAM21P1	ADAM21P1	145241	5310202	ILMN_3241313	-9.440991
ADAM22	ADAM22	53616	2490255	ILMN_1706302	-0.4406201
ADAM23	ADAM23	8745	110731	ILMN_2060086	-0.5014936
ADAM28	ADAM28	10863	6180491	ILMN_1664631	21.43033
ADAM29	ADAM29	11086	1770672	ILMN_2194158	5.129022
ADAM30	ADAM30	11085	830601	ILMN_2100871	-3.435533
ADAM32	ADAM32	203102	5050328	ILMN_1806841	8.959657
ADAM33	ADAM33	80332	1440224	ILMN_1651657	3.165699
ADAM3A	ADAM3A	1587	1170390	ILMN_1669486	1.590041
ADAM5	ADAM5	255926	540195	ILMN_2302214	-12.36326
ADAM6	ADAM6	8755	6480634	ILMN_1783312	6.470202
ADAM7	ADAM7	8756	1260424	ILMN_1750294	-2.353918
ADAM8	ADAM8	101	780725	ILMN_1708348	998.2949
ADAM9	ADAM9	8754	2940730	ILMN_1727524	29.87888
ADAMDEC1	ADAMDEC1	27299	2470184	ILMN_2103107	5.022951
ADAMTS1	ADAMTS1	9510	6900086	ILMN_1673566	3.078157
ADAMTS10	ADAMTS10	81794	840370	ILMN_1751168	-1.962686
ADAMTS12	ADAMTS12	81792	4060682	ILMN_1660970	-11.24755
ADAMTS13	ADAMTS13	11093	4200735	ILMN_2413732	12.9949
ADAMTS14	ADAMTS14	140766	7610372	ILMN_2358134	-4.621362
ADAMTS15	ADAMTS15	170689	6520458	ILMN_1683781	12.00485
ADAMTS17	ADAMTS17	170691	4040494	ILMN_1682989	15.47607
ADAMTS18	ADAMTS18	170692	2030487	ILMN_1739872	11.36824
ADAMTS19	ADAMTS19	171019	70487	ILMN_1656171	-10.39309
ADAMTS2	ADAMTS2	9509	3400600	ILMN_1796628	4.112641
ADAMTS20	ADAMTS20	80070	4060747	ILMN_1651717	-6.076764
ADAMTS3	ADAMTS3	9508	2120364	ILMN_1703803	-1.895378
ADAMTS4	ADAMTS4	9507	1660497	ILMN_2092933	3.643427
ADAMTS5	ADAMTS5	11096	6180332	ILMN_1681886	-5.402537
ADAMTS6	ADAMTS6	11174	20100	ILMN_1767362	9.08927
ADAMTS7	ADAMTS7	11173	240673	ILMN_3251322	-0.02582469
ADAMTS8	ADAMTS8	11095	2480239	ILMN_1672403	9.367714
ADAMTS9	ADAMTS9	56999	1570382	ILMN_1805543	-13.15525
ADAMTSL1	ADAMTSL1	92949	3140368	ILMN_1727084	4.470701
ADAMTSL2	ADAMTSL2	9719	4810575	ILMN_1721495	-1.28179
ADAMTSL3	ADAMTSL3	57188	5130400	ILMN_1798690	17.12258
ADAMTSL4	ADAMTSL4	54507	10286	ILMN_1687035	42.98843
ADAMTSL5	ADAMTSL5	339366	3460356	ILMN_1793040	11.82842
ADAP1	ADAP1	11033	830735	ILMN_2047511	2256.121
ADAP2	ADAP2	55803	3990433	ILMN_1763000	482.9177
ADAR	ADAR	103	2900450	ILMN_1776777	4993.964
ADARB1	ADARB1	104	7330097	ILMN_1679797	523.5123
ADARB2	ADARB2	105	6110519	ILMN_1749493	4.324028
ADARB2-AS1	ADARB2-AS1	642394	6520546	ILMN_1712854	2.909152
ADAT1	ADAT1	23536	1710204	ILMN_1657139	342.0978
ADAT2	ADAT2	134637	2760725	ILMN_3245693	17.26677
ADAT3	ADAT3	113179	2230253	ILMN_1806275	47.45952
ADCK1	ADCK1	57143	780379	ILMN_1698777	69.29678
ADCK2	ADCK2	90956	1780647	ILMN_1663132	336.687
ADCK5	ADCK5	203054	2480709	ILMN_1761309	40.98903
ADCY1	ADCY1	107	580561	ILMN_2120555	-3.882655
ADCY10	ADCY10	55811	6760370	ILMN_1808797	28.70899
ADCY10P1	ADCY10P1	221442	2000553	ILMN_1753411	84.46144
ADCY2	ADCY2	108	2970288	ILMN_1810691	0.4761002
ADCY3	ADCY3	109	3800050	ILMN_1676893	539.5042
ADCY4	ADCY4	196883	6330224	ILMN_2148944	65.56004
ADCY5	ADCY5	111	1030187	ILMN_1708588	10.099
ADCY6	ADCY6	112	3120600	ILMN_1685156	9.550326
ADCY7	ADCY7	113	50735	ILMN_1655935	216.4303
ADCY8	ADCY8	114	5310431	ILMN_1754440	2.908066
