feature_id	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_P.Value	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_P.Value	United_States_adj.P.Val	pooled_direction	Sri_Lanka_direction	United_States_direction	pooled_Sri_Lanka_concordant	pooled_United_States_concordant	Sri_Lanka_United_States_concordant	all_three_concordant
NM_012342	-0.952778095871964	0.00210580719218039	0.006156123086744	-1.25313352763564	0.00167745949077607	0.00546287450839123	-0.621770856055326	0.212531032753765	0.343106887636628	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012343	-0.626262219648957	0.00313904981323006	0.00860914114300439	-0.810039459790523	0.00310847671784857	0.0090913170342576	-0.457482452834202	0.184034988905089	0.308845828909363	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012345	-0.53672128765484	0.025245408371912	0.0503623862373932	-0.268673116302847	0.395680975983994	0.495500548083092	-1.07638750667756	0.00361906422900158	0.0155751378342592	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012367	0.0323463656422029	0.915784047620507	0.935572393152969	0.07938383447615	0.840779170111688	0.88127581881885	-0.00253353292884967	0.995904105325352	0.99755014536721	1	1	-1	TRUE	FALSE	FALSE	FALSE
NM_012382	-0.535320951802741	0.0668658488838669	0.114182037773489	-0.523384803435393	0.170497371492268	0.251125123911759	-0.567731784473101	0.21406775479671	0.345141972603951	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012383	0.694469311301136	0.00294869608382857	0.00817225235317178	0.494190353320188	0.111078304263656	0.175774948344995	0.968921184443744	0.00648409866026932	0.0242837994581884	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012387	1.12950397378013	1.44977235117206e-13	6.22188782212231e-12	1.06753470194502	7.23670902767601e-08	1.23910054661381e-06	1.28490082924516	3.97050377766917e-07	2.025665945143e-05	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012393	-0.276204511838892	0.0773018789543042	0.128787094069238	-0.0132430796470333	0.951503510285287	0.963987776200377	-0.817556728518801	0.000223673027949399	0.00198106150839683	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012395	-0.29245859835788	0.135578498644652	0.203928579602466	-0.799209900250523	0.00242387676214639	0.00739965064359116	0.391619728154403	0.182613431910375	0.307156099644709	-1	-1	1	TRUE	FALSE	FALSE	FALSE
NM_012396	-0.237664117788542	0.311875560328488	0.403102134751466	0.0561852105489763	0.850001630384823	0.88861383199509	-0.649862989507759	0.0997200491847578	0.19648288311783	-1	1	-1	FALSE	TRUE	FALSE	FALSE
