expression_sample_id	matched_geo_accessions	n_matched_geo_accessions	matched_metadata_fields	mapping_status
DU14-03S0035207	GSM6480020 | GSM6480020	1	title_contains	unique_metadata_match
DU16-02S0003143	GSM6480053 | GSM6480053	1	title_contains	unique_metadata_match
DU09-03S0000121	GSM6479938 | GSM6479938	1	title_contains	unique_metadata_match
DU16-02S0003205	GSM6480078 | GSM6480078	1	title_contains	unique_metadata_match
DU16-02S0003141	GSM6480051 | GSM6480051	1	title_contains	unique_metadata_match
DU09-03S0000119	GSM6479936 | GSM6479936	1	title_contains	unique_metadata_match
DU09-03S0000129	GSM6479945 | GSM6479945	1	title_contains	unique_metadata_match
413968	GSM6479896 | GSM6479896	1	title_contains	unique_metadata_match
DU16-02S0003192	GSM6480074 | GSM6480074	1	title_contains	unique_metadata_match
DU16-02S0003134	GSM6480049 | GSM6480049	1	title_contains	unique_metadata_match
286605	GSM6479890 | GSM6479890	1	title_contains	unique_metadata_match
8394	GSM6479897 | GSM6479897	1	title_contains	unique_metadata_match
DU16-02S0003177	GSM6480066 | GSM6480066	1	title_contains	unique_metadata_match
DU14-03S0035227	GSM6480038 | GSM6480038	1	title_contains	unique_metadata_match
DU16-02S0003157	GSM6480057 | GSM6480057	1	title_contains	unique_metadata_match
DU16-02S0003173	GSM6480065 | GSM6480065	1	title_contains	unique_metadata_match
DU16-02S0003120	GSM6480043 | GSM6480043	1	title_contains	unique_metadata_match
DU14-03S0000934	GSM6479999 | GSM6479999	1	title_contains	unique_metadata_match
352105	GSM6479895 | GSM6479895	1	title_contains	unique_metadata_match
DU16-02S0003163	GSM6480059 | GSM6480059	1	title_contains	unique_metadata_match
DU14-03S0035217	GSM6480030 | GSM6480030	1	title_contains	unique_metadata_match
DU16-02S0003127	GSM6480046 | GSM6480046	1	title_contains	unique_metadata_match
DU14-03S0035200	GSM6480014 | GSM6480014	1	title_contains	unique_metadata_match
348339	GSM6479894 | GSM6479894	1	title_contains	unique_metadata_match
DU09-03S0000126	GSM6479942 | GSM6479942	1	title_contains	unique_metadata_match
DU16-02S0003193	GSM6480075 | GSM6480075	1	title_contains	unique_metadata_match
DU14-03S0035221	GSM6480033 | GSM6480033	1	title_contains	unique_metadata_match
DU14-03S0035220	GSM6480032 | GSM6480032	1	title_contains	unique_metadata_match
DU16-02S0003185	GSM6480071 | GSM6480071	1	title_contains	unique_metadata_match
DU16-02S0003178	GSM6480067 | GSM6480067	1	title_contains	unique_metadata_match
DU16-02S0003186	GSM6480072 | GSM6480072	1	title_contains	unique_metadata_match
DU14-03S0000945	GSM6480010 | GSM6480010	1	title_contains	unique_metadata_match
DU14-03S0000946	GSM6480011 | GSM6480011	1	title_contains	unique_metadata_match
DU16-02S0003171	GSM6480063 | GSM6480063	1	title_contains	unique_metadata_match
DU09-03S0000127	GSM6479943 | GSM6479943	1	title_contains	unique_metadata_match
DU16-02S0003206	GSM6480079 | GSM6480079	1	title_contains	unique_metadata_match
DU14-03S0035225	GSM6480036 | GSM6480036	1	title_contains	unique_metadata_match
DU14-03S0000937	GSM6480002 | GSM6480002	1	title_contains	unique_metadata_match
DU16-02S0003128	GSM6480047 | GSM6480047	1	title_contains	unique_metadata_match
DU09-03S0000128	GSM6479944 | GSM6479944	1	title_contains	unique_metadata_match
286671	GSM6479892 | GSM6479892	1	title_contains	unique_metadata_match
DU16-02S0003121	GSM6480044 | GSM6480044	1	title_contains	unique_metadata_match
DU10-01S0000030	GSM6479975 | GSM6479975	1	title_contains	unique_metadata_match
DU14-03S0000948	GSM6480013 | GSM6480013	1	title_contains	unique_metadata_match
DU16-02S0003165	GSM6480061 | GSM6480061	1	title_contains	unique_metadata_match
DU09-03S0000033	GSM6479928 | GSM6479928	1	title_contains	unique_metadata_match
DU16-02S0003179	GSM6480068 | GSM6480068	1	title_contains	unique_metadata_match
DU14-03S0035208	GSM6480021 | GSM6480021	1	title_contains	unique_metadata_match
DU14-03S0035205	GSM6480018 | GSM6480018	1	title_contains	unique_metadata_match
286678	GSM6479893 | GSM6479893	1	title_contains	unique_metadata_match
DU16-02S0003164	GSM6480060 | GSM6480060	1	title_contains	unique_metadata_match
DU14-03S0035224	GSM6480035 | GSM6480035	1	title_contains	unique_metadata_match
DU16-02S0003144	GSM6480054 | GSM6480054	1	title_contains	unique_metadata_match
DU14-03S0000939	GSM6480004 | GSM6480004	1	title_contains	unique_metadata_match
DU16-02S0003180	GSM6480069 | GSM6480069	1	title_contains	unique_metadata_match
DU09-03S0000125	GSM6479941 | GSM6479941	1	title_contains	unique_metadata_match
DU16-02S0003142	GSM6480052 | GSM6480052	1	title_contains	unique_metadata_match
DU14-03S0000941	GSM6480006 | GSM6480006	1	title_contains	unique_metadata_match
DU14-03S0000942	GSM6480007 | GSM6480007	1	title_contains	unique_metadata_match
DU14-03S0035202	GSM6480016 | GSM6480016	1	title_contains	unique_metadata_match
DU10-01S0000017	GSM6479963 | GSM6479963	1	title_contains	unique_metadata_match
DU14-03S0000943	GSM6480008 | GSM6480008	1	title_contains	unique_metadata_match
DU14-03S0035218	GSM6480031 | GSM6480031	1	title_contains	unique_metadata_match
DU16-02S0003113	GSM6480040 | GSM6480040	1	title_contains	unique_metadata_match
DU14-03S0035209	GSM6480022 | GSM6480022	1	title_contains	unique_metadata_match
DU16-02S0003158	GSM6480058 | GSM6480058	1	title_contains	unique_metadata_match
286615	GSM6479891 | GSM6479891	1	title_contains	unique_metadata_match
DU09-03S0000124	GSM6479940 | GSM6479940	1	title_contains	unique_metadata_match
DU14-03S0035210	GSM6480023 | GSM6480023	1	title_contains	unique_metadata_match
DU16-02S0003172	GSM6480064 | GSM6480064	1	title_contains	unique_metadata_match
DU14-03S0000947	GSM6480012 | GSM6480012	1	title_contains	unique_metadata_match
DU14-03S0035214	GSM6480027 | GSM6480027	1	title_contains	unique_metadata_match
