GO	TERM	query_genes	universe_genes	term_genes_in_universe	overlap_genes	p_value	overlap_gene_ids	p_adj_BH	gene_ratio	background_ratio	enrichment_ratio	direction_set	overlap_symbols
GO:0030522	intracellular receptor signaling pathway	1479	9100	14	1	0.916680966467853	2649	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	NR6A1
GO:0042254	ribosome biogenesis	1479	9100	14	1	0.916680966467853	401466	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	RBIS
GO:0043616	keratinocyte proliferation	1479	9100	14	1	0.916680966467853	51098	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	IFT52
GO:0045190	isotype switching	1479	9100	14	1	0.916680966467853	9156	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	EXO1
GO:0045214	sarcomere organization	1479	9100	14	1	0.916680966467853	3856	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	KRT8
GO:0045814	negative regulation of gene expression, epigenetic	1479	9100	14	1	0.916680966467853	3622	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	ING2
GO:0045943	positive regulation of transcription by RNA polymerase I	1479	9100	14	1	0.916680966467853	387496	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	RASL11A
GO:0050769	positive regulation of neurogenesis	1479	9100	14	1	0.916680966467853	2852	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	GPER1
GO:0060325	face morphogenesis	1479	9100	14	1	0.916680966467853	83716	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	CRISPLD2
GO:0071897	DNA biosynthetic process	1479	9100	14	1	0.916680966467853	7084	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	TK2
GO:0072344	rescue of stalled ribosome	1479	9100	14	1	0.916680966467853	53918	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	PELO
GO:1902455	negative regulation of stem cell population maintenance	1479	9100	14	1	0.916680966467853	3622	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	ING2
