SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
ADAP1	ADAP1	11033	830735	ILMN_2047511	2536.276
ADAP2	ADAP2	55803	3990433	ILMN_1763000	561.77565
ADAR	ADAR	103	2900450	ILMN_1776777	5622.9725
ADARB1	ADARB1	104	7330097	ILMN_1679797	486.82485
ADARB2	ADARB2	105	6110519	ILMN_1749493	3.767486
ADARB2-AS1	ADARB2-AS1	642394	6520546	ILMN_1712854	3.201579
ADAT1	ADAT1	23536	1710204	ILMN_1657139	336.4808
ADAT2	ADAT2	134637	2760725	ILMN_3245693	15.649275
ADAT3	ADAT3	113179	2230253	ILMN_1806275	47.795
ADCK1	ADCK1	57143	780379	ILMN_1698777	67.745995
ADCK2	ADCK2	90956	1780647	ILMN_1663132	302.35735
ADCK5	ADCK5	203054	2480709	ILMN_1761309	39.69426
ADCY1	ADCY1	107	580561	ILMN_2120555	-3.115148
ADCY10	ADCY10	55811	6760370	ILMN_1808797	27.524635
ADCY10P1	ADCY10P1	221442	2000553	ILMN_1753411	83.535705
ADCY2	ADCY2	108	2970288	ILMN_1810691	0.6868487
ADCY3	ADCY3	109	3800050	ILMN_1676893	697.55725
ADCY4	ADCY4	196883	6330224	ILMN_2148944	79.739125
ADCY5	ADCY5	111	1030187	ILMN_1708588	9.7940855
ADCY6	ADCY6	112	3120600	ILMN_1685156	9.792311
ADCY7	ADCY7	113	50735	ILMN_1655935	221.8962
ADCY8	ADCY8	114	5310431	ILMN_1754440	3.1171145
ADCY9	ADCY9	115	3060100	ILMN_1654287	-6.9291865
ADCYAP1	ADCYAP1	116	3060064	ILMN_1763344	-17.816565
ADCYAP1R1	ADCYAP1R1	117	7100020	ILMN_1711736	-7.1141065
ADD1	ADD1	118	5900685	ILMN_1759252	3677.056
ADD2	ADD2	119	6250193	ILMN_1694133	12.614975
ADD3	ADD3	120	1990468	ILMN_1814526	1731.8435
ADGB	ADGB	79747	990367	ILMN_1666316	8.997294
ADGRA1	ADGRA1	84435	4640255	ILMN_1733541	-3.9542625
ADGRA2	ADGRA2	25960	6040736	ILMN_1773059	7.8720945
ADGRA3	ADGRA3	166647	5260369	ILMN_1674181	2.791196
ADGRB1	ADGRB1	575	3060253	ILMN_1729529	31.024785
ADGRB2	ADGRB2	576	2370474	ILMN_1773109	-14.97128
ADGRB3	ADGRB3	577	5690301	ILMN_1671076	-3.4824995
ADGRD1	ADGRD1	283383	5290603	ILMN_1682487	0.186247165
ADGRD2	ADGRD2	347088	3780026	ILMN_1798488	-1.197356
ADGRE1	ADGRE1	2015	2510356	ILMN_1780601	203.0915
ADGRE2	ADGRE2	30817	2140136	ILMN_2353633	1305.7735
ADGRE3	ADGRE3	84658	1030209	ILMN_2348487	285.72905
ADGRE4P	ADGRE4P	326342	7320324	ILMN_3243190	22.16618
ADGRE5	ADGRE5	976	6960630	ILMN_1673363	6667.99
ADGRF1	ADGRF1	266977	6650202	ILMN_1744299	6.050721
ADGRF2	ADGRF2	222611	2370326	ILMN_1715390	-10.550955
ADGRF3	ADGRF3	165082	3830097	ILMN_1762897	4.303101
ADGRF4	ADGRF4	221393	5270437	ILMN_1684653	-16.26122
ADGRF5	ADGRF5	221395	2510142	ILMN_3220268	17.04076
ADGRG1	ADGRG1	9289	4890241	ILMN_2352097	313.6165
ADGRG2	ADGRG2	10149	2230072	ILMN_1751885	6.139903
ADGRG3	ADGRG3	222487	4230441	ILMN_1765941	394.899
ADGRG4	ADGRG4	139378	5090601	ILMN_2115534	16.97094
ADGRG5	ADGRG5	221188	7380273	ILMN_1666902	166.5996
ADGRG6	ADGRG6	57211	830523	ILMN_2367010	4.6699155
ADGRG7	ADGRG7	84873	50162	ILMN_2125395	6.1875945
ADGRL1	ADGRL1	22859	770474	ILMN_1813175	55.657055
ADGRL2	ADGRL2	23266	1240615	ILMN_1697548	-6.9969375
ADGRL3	ADGRL3	23284	1170739	ILMN_1692623	-3.293468
ADGRL4	ADGRL4	64123	6040070	ILMN_3240520	-2.9707455
ADGRV1	ADGRV1	84059	3360750	ILMN_1690621	-4.204846
ADH1A	ADH1A	124	3370347	ILMN_1764309	3.329918
ADH1B	ADH1B	125	2490612	ILMN_1811598	-6.3583445
