ID_REF	ARRAY_ID	SYMBOL	ENTREZID	ENSEMBL	SYMBOL_UPPER
ILMN_1652144	1510709	GALNT16	57452	ENSG00000100626	GALNT16
ILMN_1652147	6620181	MRPL43	84545	ENSG00000055950	MRPL43
ILMN_1652151	6560382	TJP2	9414	ENSG00000119139	TJP2
ILMN_1652155	7210008				
ILMN_1652160	4040059	LRBA	987	ENSG00000198589	LRBA
ILMN_1652161	5360138	PNKD	25953	ENSG00000127838	PNKD
ILMN_1652163	7570059	DVL2	1856	ENSG00000004975	DVL2
ILMN_1652164	3930187	UNC93B1	81622	ENSG00000110057	UNC93B1
ILMN_1652166	240647	GUCY1B2	2974	ENSG00000123201	GUCY1B2
ILMN_1652170	4490113	LINC00273	649159	ENSG00000256642	LINC00273
ILMN_1652171	5550286	CDKN2C	1031	ENSG00000123080	CDKN2C
ILMN_1652175	1780523	KRTAP9-8	83901	ENSG00000187272	KRTAP9-8
ILMN_1652175	1780523	KRTAP9-8	83901	ENSG00000292048	KRTAP9-8
ILMN_1652178	6060133				
ILMN_1652181	4230349	KIF2B	84643	ENSG00000141200	KIF2B
ILMN_1652185	5910609	IL4R	3566	ENSG00000077238	IL4R
ILMN_1652188	5870176	EPG5	57724	ENSG00000152223	EPG5
ILMN_1652196	1430215	CTAG1B	1485	ENSG00000184033	CTAG1B
ILMN_1652196	1430215	CTAG2	30848	ENSG00000126890	CTAG2
ILMN_1652196	1430215	CTAG1A	246100	ENSG00000268651	CTAG1A
ILMN_1652198	4860634	CCM2	83605	ENSG00000136280	CCM2
ILMN_1652199	6450102				
ILMN_1652205	7550228				
ILMN_1652206	6550575	WDR97	340390	ENSG00000179698	WDR97
ILMN_1652207	3390022	COX4I1	1327	ENSG00000131143	COX4I1
ILMN_1652209	4150095	BMS1	9790	ENSG00000165733	BMS1
ILMN_1652215	3850452	UQCR10	29796	ENSG00000184076	UQCR10
ILMN_1652218	520768				
ILMN_1652219	1010725	NOL4L	140688	ENSG00000197183	NOL4L
ILMN_1652223	7150367	WDR91	29062	ENSG00000105875	WDR91
ILMN_1652230	6840170	RPS29	6235	ENSG00000213741	RPS29
ILMN_1652236	830551	ATAD5	79915	ENSG00000176208	ATAD5
ILMN_1652237	5560543	CBR3	874	ENSG00000159231	CBR3
ILMN_1652242	4040121				
ILMN_1652243	6110743	VWA5B1	127731	ENSG00000158816	VWA5B1
ILMN_1652244	1470324	POPDC3	64208	ENSG00000132429	POPDC3
ILMN_1652246	6590156	NACAD	23148	ENSG00000136274	NACAD
ILMN_1652248	730270				
ILMN_1652249	1740441	PTPA	5524	ENSG00000119383	PTPA
ILMN_1652254	2640646				
ILMN_1652259	4070343				
ILMN_1652276	1990039	MAGEA3	4102	ENSG00000221867	MAGEA3
ILMN_1652276	1990039	MAGEA3	4102	ENSG00000292186	MAGEA3
ILMN_1652277	5360093	SECTM1	6398	ENSG00000141574	SECTM1
ILMN_1652280	1430598	FBXO32	114907	ENSG00000156804	FBXO32
ILMN_1652284	7320079				
ILMN_1652287	6770603	NOG	9241	ENSG00000183691	NOG
ILMN_1652291	2370408	EVX2	344191	ENSG00000174279	EVX2
ILMN_1652297	6510471	LINC02275	100506085	ENSG00000248319	LINC02275
ILMN_1652300	7380131	ZNF507	22847	ENSG00000168813	ZNF507
ILMN_1652306	840601	MEGF10	84466	ENSG00000145794	MEGF10
ILMN_1652309	840484	TTC8	123016	ENSG00000165533	TTC8
ILMN_1652313	6420288	RNF215	200312	ENSG00000099999	RNF215
ILMN_1652314	6280296	SPAG1	6674	ENSG00000104450	SPAG1
ILMN_1652319	3870440				
ILMN_1652331	2630747	KCTD5	54442	ENSG00000167977	KCTD5
ILMN_1652331	2630747	LOC652276	652276	ENSG00000291228	LOC652276
ILMN_1652333	4010021	FN3KRP	79672	ENSG00000141560	FN3KRP
ILMN_1652342	3420437				
ILMN_1652343	4540170				
ILMN_1652348	7570349				
ILMN_1652357	7050706	PDHX	8050	ENSG00000110435	PDHX
ILMN_1652365	2340592	DNAH14	127602	ENSG00000185842	DNAH14
ILMN_1652366	5670129	NLRP7	199713	ENSG00000167634	NLRP7
ILMN_1652366	5670129	NLRP7	199713	ENSG00000277786	NLRP7
ILMN_1652366	5670129	NLRP7	199713	ENSG00000277071	NLRP7
ILMN_1652366	5670129	NLRP7	199713	ENSG00000275483	NLRP7
ILMN_1652366	5670129	NLRP7	199713	ENSG00000278173	NLRP7
ILMN_1652366	5670129	NLRP7	199713	ENSG00000274174	NLRP7
ILMN_1652366	5670129	NLRP7	199713	ENSG00000277179	NLRP7
ILMN_1652366	5670129	NLRP7	199713	ENSG00000276804	NLRP7
ILMN_1652366	5670129	NLRP7	199713	ENSG00000277776	NLRP7
ILMN_1652366	5670129	NLRP7	199713	ENSG00000274571	NLRP7
ILMN_1652368	6110202				
ILMN_1652369	7320343	ERCC1	2067	ENSG00000012061	ERCC1
ILMN_1652371	2650753	ELAPOR2	222223	ENSG00000164659	ELAPOR2
ILMN_1652376	3460088	IFNA4	3441	ENSG00000236637	IFNA4
ILMN_1652376	3460088	IFNA17	3451	ENSG00000234829	IFNA17
ILMN_1652378	5720538	IPO7	10527	ENSG00000205339	IPO7
ILMN_1652379	4060692	SUCLG2	8801	ENSG00000172340	SUCLG2
ILMN_1652381	4640270	SIGLEC5	8778	ENSG00000268500	SIGLEC5
ILMN_1652381	4640270	SIGLEC14	100049587	ENSG00000254415	SIGLEC14
ILMN_1652392	5690026	DCHS2	54798	ENSG00000197410	DCHS2
ILMN_1652392	5690026	DCHS2	54798	ENSG00000284227	DCHS2
ILMN_1652394	5360379	RAB2A	5862	ENSG00000104388	RAB2A
ILMN_1652397	830376	TRPT1	83707	ENSG00000149743	TRPT1
ILMN_1652407	1090438	ZMYND8	23613	ENSG00000101040	ZMYND8
ILMN_1652409	380079	SPATA7	55812	ENSG00000042317	SPATA7
ILMN_1652412	1240019	PHKB	5257	ENSG00000102893	PHKB
ILMN_1652413	4220437	UCN2	90226	ENSG00000145040	UCN2
ILMN_1652417	5690168				
ILMN_1652424	6270747	OR1S1	219959	ENSG00000280204	OR1S1
ILMN_1652429	360671				
ILMN_1652430	650703				
ILMN_1652431	2190139	CA1	759	ENSG00000133742	CA1
ILMN_1652434	5310161	MTHFD2L	441024	ENSG00000163738	MTHFD2L
ILMN_1652436	4900176				
ILMN_1652439	2350484	KRTAP3-1	83896	ENSG00000212901	KRTAP3-1
ILMN_1652439	2350484	KRTAP3-1	83896	ENSG00000262068	KRTAP3-1
ILMN_1652445	6250300	RAC1	5879	ENSG00000136238	RAC1
ILMN_1652450	1430672				
ILMN_1652456	6040600	TMEM98	26022	ENSG00000006042	TMEM98
ILMN_1652459	3420427				
ILMN_1652461	3450601	PARD3B	117583	ENSG00000116117	PARD3B
ILMN_1652464	6650041	TUBA3E	112714	ENSG00000152086	TUBA3E
ILMN_1652464	6650041	TUBA3E	112714	ENSG00000292120	TUBA3E
ILMN_1652465	5900358	SLC26A4	5172	ENSG00000091137	SLC26A4
ILMN_1652466	1770424				
ILMN_1652469	1430273	FAM86B2-DT	100506990		FAM86B2-DT
ILMN_1652472	7210202	BRAF	673	ENSG00000157764	BRAF
ILMN_1652486	2450132	THAP7	80764	ENSG00000184436	THAP7
ILMN_1652487	5390056	RIOK1	83732	ENSG00000124784	RIOK1
ILMN_1652488	5360437				
ILMN_1652490	150041	MANSC1	54682	ENSG00000111261	MANSC1
ILMN_1652490	150041	MANSC1	54682	ENSG00000281818	MANSC1
ILMN_1652494	3190347	LOC154761	154761	ENSG00000291149	LOC154761
ILMN_1652494	3190347	LOC154761	154761	ENSG00000285277	LOC154761
ILMN_1652494	3190347	LOC154761	154761	ENSG00000253882	LOC154761
ILMN_1652494	3190347	TCAF2	285966	ENSG00000170379	TCAF2
ILMN_1652494	3190347	TCAF2	285966	ENSG00000292264	TCAF2
ILMN_1652505	1430047	APEX2	27301	ENSG00000169188	APEX2
ILMN_1652507	2370544				
ILMN_1652512	6770209	C2CD2	25966	ENSG00000157617	C2CD2
ILMN_1652521	6960014	MTMR9	66036	ENSG00000104643	MTMR9
ILMN_1652521	6960014	MTMR9	66036	ENSG00000285032	MTMR9
ILMN_1652525	650619	MVB12B	89853	ENSG00000196814	MVB12B
ILMN_1652527	6110750				
ILMN_1652533	3360273	POM121L8P	29797		POM121L8P
ILMN_1652540	60703	RELL2	285613	ENSG00000164620	RELL2
ILMN_1652549	4570253	DTNA	1837	ENSG00000134769	DTNA
ILMN_1652550	940008	LINC01061	401149		LINC01061
ILMN_1652574	2340368				
ILMN_1652577	6480671				
ILMN_1652578	2710110	TSHB	7252	ENSG00000134200	TSHB
