ID_REF	ARRAY_ID
ILMN_1665982	5720703
ILMN_2404657	2070397
ILMN_1747577	3120162
ILMN_1679898	6020592
ILMN_1700047	5220097
ILMN_2385647	5860278
ILMN_1728309	7150014
ILMN_1708323	1230376
ILMN_2367126	4180768
ILMN_2271875	5270338
ILMN_1782939	4230156
ILMN_1682763	5910010
ILMN_1670870	2070575
ILMN_2051381	940441
ILMN_2302716	2370255
ILMN_2096372	1070477
ILMN_1709348	6510754
ILMN_1748538	510687
ILMN_2383707	5700102
ILMN_1807439	2360551
ILMN_2139970	4920148
ILMN_2150894	1240379
ILMN_1675398	2650204
ILMN_1802167	6660341
ILMN_1736539	1980747
ILMN_2182980	4250411
ILMN_1793859	840253
ILMN_1702503	5560369
ILMN_1667564	460746
ILMN_1794825	1690608
ILMN_2401641	3120196
ILMN_1727965	1850440
ILMN_1728662	2970356
ILMN_2363880	2360201
ILMN_1761514	2970039
ILMN_1763666	4070647
ILMN_2244841	160343
ILMN_1656368	1470427
ILMN_1696099	2640273
ILMN_2406557	6220360
ILMN_2372403	2640274
ILMN_2372398	7040327
ILMN_1785284	5820373
ILMN_2096985	7100274
ILMN_1687508	70102
ILMN_1763461	4150544
ILMN_2365176	2100546
ILMN_1699258	6370138
ILMN_1681938	7400541
ILMN_1761804	1820044
ILMN_1681374	2470341
ILMN_1736700	2640088
ILMN_2251253	2850255
ILMN_1741148	6590253
ILMN_1747716	650427
ILMN_1755974	7330544
ILMN_1718093	5560670
ILMN_3243268	3140711
ILMN_1730304	1110241
ILMN_1666325	3060196
ILMN_3251482	5310524
ILMN_1660856	4210358
ILMN_2120982	5550647
ILMN_1743995	6940735
ILMN_2147503	730520
ILMN_1761456	6660411
ILMN_1743635	50128
ILMN_2191822	2340524
ILMN_2131293	1440474
ILMN_1782084	2900681
ILMN_1737945	1990021
ILMN_1722688	4540025
ILMN_1806845	2140427
ILMN_1711886	2650167
ILMN_1664449	6370113
ILMN_1771411	6960243
ILMN_2365686	2970296
ILMN_2271014	3610291
ILMN_1685413	4850632
ILMN_1732809	450204
ILMN_1753135	6250431
ILMN_2276750	1780020
