source_feature_set	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	n_refseq_features_for_entrez_in_input	pooled_rank	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_adj.P.Val	all_three_concordant	stability_tier	recommended_use
site_aware_eligible	100287329	LOC100287329		uncharacterized LOC100287329	NR_149045	1	8328	-0.738552876419447	0.00780317690396424	0.0187386809440899	-0.155477659023509	0.732896541279187	-1.6323584413861	0.0027088707779706	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	65062	TMEM237	ENSG00000155755	transmembrane protein 237	NM_152388	1	8329	-0.704234613684261	0.00781524681795856	0.0187652111235084	-0.259032434991908	0.550390589919709	-1.42719385831728	0.00490951213571686	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	212	ALAS2	ENSG00000158578	5'-aminolevulinate synthase 2	NM_000032	3	8332	0.733620044393249	0.00782269831736137	0.0187743866191508	1.05859132369649	0.00824606053070043	0.432205664414416	0.467871592491586	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	100288805	HYDIN2		HYDIN axonemal central pair apparatus protein 2 (pseudogene)	NR_103556	1	8337	0.796874082028632	0.0078512683570279	0.0188338150260526	1.16728575253985	0.00875988688881897	0.362084937938863	0.579850344526172	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	1608	DGKG	ENSG00000058866	diacylglycerol kinase gamma	NM_001080744	2	8338	-0.463988316951956	0.00785238694235654	0.0188341501108195	-0.599325715341293	0.0219928304980795	-0.306208725553526	0.424262063198263	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	8065	CUL5	ENSG00000166266	cullin 5	NM_003478	1	8340	-0.662579943668576	0.00785531805020809	0.0188367512813083	-0.923029487941917	0.0120949655596372	-0.367078432809718	0.495481240172409	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	64398	PALS1	ENSG00000072415	protein associated with LIN7 1, MAGUK p55 family member	NM_001256550	2	8343	-0.693097265711864	0.00786845791853394	0.0188614754779768	-0.929888071687356	0.0145447783930245	-0.363369779882062	0.534560631975368	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	4552	MTRR	ENSG00000124275	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	NR_157172	7	8346	-0.511086229555161	0.00787610077942199	0.0188730097636785	-0.652569344681783	0.0273231936826071	-0.287361183348693	0.480196676801196	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	100507436	MICA	ENSG00000204520	MHC class I polypeptide-related sequence A	NM_001289154	5	8347	-0.51204214798538	0.00788173216592866	0.0188842412347439	-0.512438764496964	0.0666853927506602	-0.544790938244608	0.195762346752874	TRUE	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	58490	RPRD1B	ENSG00000101413	regulation of nuclear pre-mRNA domain containing 1B	NM_021215	1	8350	-0.509266992146802	0.00789913716743688	0.0189191430193497	-0.917736215663306	0.00191211138253871	-0.0662443597900213	0.871866154699309	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
