source_feature_set	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	n_refseq_features_for_entrez_in_input	pooled_rank	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_adj.P.Val	all_three_concordant	stability_tier	recommended_use
all_modelled_features	401428	OR2A20P	ENSG00000170356	olfactory receptor family 2 subfamily A member 20 pseudogene	NR_002158	1	14177	-0.366667797904931	0.194725377536932	0.274692306225654	0.265486048160081	0.553951819289573	-1.36461614471935	0.0151585459357528	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	112752	IFT43	ENSG00000119650	intraflagellar transport 43	NM_001102564	3	14178	0.254819619354427	0.194826654454649	0.274815789422946	0.76307802886355	0.00641023050922432	-0.464548525115312	0.28003344703173	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	51512	GTSE1	ENSG00000075218	G2 and S-phase expressed 1	NM_016426	1	14182	0.400838490386544	0.195352400621952	0.275479668596701	1.13492883264958	0.0116332632149335	-0.713599754406618	0.258974033766128	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	25788	RAD54B	ENSG00000197275	RAD54 homolog B	NM_012415	2	14186	-0.355428322070596	0.195526008421768	0.275646739209568	0.108062651338973	0.825960053276157	-0.919989895875016	0.0681360218246766	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	100533483	DNAAF4-CCPG1	ENSG00000261771	DNAAF4-CCPG1 readthrough (NMD candidate)	NR_037923	1	14192	0.252019757923621	0.196133553826734	0.276386340401695	-0.223663945403556	0.487881325830582	0.9720699873119	0.00617809053080284	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	51673	TPPP3	ENSG00000159713	tubulin polymerization promoting protein family member 3	NM_016140	2	14193	-0.356724633183809	0.196540054918559	0.276939657459047	-0.246256262335207	0.571943958478921	-0.48740480284758	0.435128274031321	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	100874214	TM4SF19-AS1	ENSG00000235897	TM4SF19 antisense RNA 1	NR_046724	1	14194	0.277999128486613	0.196809840656965	0.277300267951152	0.56062193883087	0.0926714255443199	-0.0935014451120199	0.853187018593335	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	80737	VWA7	ENSG00000204396	von Willebrand factor A domain containing 7	NM_025258	6	14195	0.358088012288019	0.196824676106132	0.277301634198418	0.276873065663771	0.525897231127814	0.513275099451779	0.410549110408813	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	9374	PPT2	ENSG00000221988	palmitoyl-protein thioesterase 2	NM_005155	24	14197	-0.234293226409482	0.196885522622367	0.277336582496809	0.302758263933746	0.266496815413064	-1.05398148975018	0.00423258223978754	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	3681	ITGAD	ENSG00000156886	integrin subunit alpha D	NM_005353	2	14198	0.314874372356224	0.196891084468708	0.277336582496809	0.644183983351888	0.0734470903895046	-0.0186728255752858	0.976999896797119	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	206358	SLC36A1	ENSG00000123643	solute carrier family 36 member 1	NM_001308150	1	14200	-0.259989061708816	0.197116320096549	0.277614738423302	-0.750646913876622	0.0152001490841521	0.371717824942956	0.347914000064806	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	152789	JAKMIP1	ENSG00000152969	janus kinase and microtubule interacting protein 1	NM_001306133	4	14201	0.285707787199123	0.197199141339314	0.277711825057739	1.02960494247295	0.00149338531983477	-0.879118668872646	0.0350125452228792	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	53354	PANK1	ENSG00000152782	pantothenate kinase 1	NM_148977	1	14203	-0.206347472419398	0.197258814557719	0.27775674381045	0.013181713786513	0.962453835327559	-0.503616508704104	0.144471887256181	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	55790	CSGALNACT1	ENSG00000147408	chondroitin sulfate N-acetylgalactosaminyltransferase 1	NM_001354487	29	14204	0.302886066413995	0.197313032862797	0.27781352747276	-0.00954663596448607	0.980531553607965	0.782527886889432	0.119011293585778	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	79658	ARHGAP10	ENSG00000071205	Rho GTPase activating protein 10	NM_024605	1	14206	-0.294540583779963	0.197516349991852	0.278060642227725	0.321071287338222	0.378233076766133	-1.23773638051118	0.00340895459443518	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	284034	LINC00670	ENSG00000179136	long intergenic non-protein coding RNA 670	NR_034144	2	14207	-0.37032998500267	0.197576098640808	0.278125177498241	-0.486559788511771	0.308950482496191	-0.20634300667845	0.73261206674698	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	100130950	ZNF594-DT	ENSG00000261879	ZNF594 divergent transcript	NR_034082	1	14208	0.19479740298784	0.197840405595742	0.278477637352846	0.660395651947344	0.00315880068154961	-0.430547465243518	0.175175366188764	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
