supplementary_table_section	SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
S3D_gene_probe_choice_for_projection	ABT1	ABT1	29777	6480392	ILMN_1658083	54.91371
S3D_gene_probe_choice_for_projection	ABTB1	ABTB1	80325	2970044	ILMN_1802096	2334.467
S3D_gene_probe_choice_for_projection	ABTB2	ABTB2	25841	940148	ILMN_1753370	15.85128
S3D_gene_probe_choice_for_projection	ABTB3	ABTB3	121551	6510608	ILMN_1705066	278.025
S3D_gene_probe_choice_for_projection	ACAA1	ACAA1	30	3520753	ILMN_1738921	537.2391
S3D_gene_probe_choice_for_projection	ACAA2	ACAA2	10449	1450093	ILMN_1660199	278.4655
S3D_gene_probe_choice_for_projection	ACACA	ACACA	31	2190414	ILMN_2331636	76.64032
S3D_gene_probe_choice_for_projection	ACACB	ACACB	32	2230678	ILMN_1763852	45.7609
S3D_gene_probe_choice_for_projection	ACAD10	ACAD10	80724	6560327	ILMN_1687303	125.9487
S3D_gene_probe_choice_for_projection	ACAD11	ACAD11	84129	3370136	ILMN_1761058	103.757
S3D_gene_probe_choice_for_projection	ACAD8	ACAD8	27034	730671	ILMN_2225595	205.6839
S3D_gene_probe_choice_for_projection	ACAD9	ACAD9	28976	5340561	ILMN_1775579	205.6877
S3D_gene_probe_choice_for_projection	ACADL	ACADL	33	130193	ILMN_1660890	-1.867401
S3D_gene_probe_choice_for_projection	ACADM	ACADM	34	2470279	ILMN_2053679	348.0318
S3D_gene_probe_choice_for_projection	ACADS	ACADS	35	110441	ILMN_1795104	54.61711
S3D_gene_probe_choice_for_projection	ACADSB	ACADSB	36	3610136	ILMN_1740920	7.026234
S3D_gene_probe_choice_for_projection	ACADVL	ACADVL	37	1170647	ILMN_1806408	1396.831
S3D_gene_probe_choice_for_projection	ACAN	ACAN	176	4480747	ILMN_1777182	-4.880358
S3D_gene_probe_choice_for_projection	ACAP1	ACAP1	9744	7210682	ILMN_1808395	889.8469
S3D_gene_probe_choice_for_projection	ACAP2	ACAP2	23527	60746	ILMN_2088825	526.7667
S3D_gene_probe_choice_for_projection	ACAP3	ACAP3	116983	4850215	ILMN_1743847	-5.040148
S3D_gene_probe_choice_for_projection	ACAT1	ACAT1	38	2070605	ILMN_1800008	309.4937
S3D_gene_probe_choice_for_projection	ACAT2	ACAT2	39	7330753	ILMN_1708672	279.5448
S3D_gene_probe_choice_for_projection	ACBD3	ACBD3	64746	5890112	ILMN_1665945	361.2006
S3D_gene_probe_choice_for_projection	ACBD4	ACBD4	79777	70068	ILMN_1676288	35.88507
S3D_gene_probe_choice_for_projection	ACBD5	ACBD5	91452	4060435	ILMN_2410362	4.066203
S3D_gene_probe_choice_for_projection	ACBD6	ACBD6	84320	870349	ILMN_1684271	109.2424
S3D_gene_probe_choice_for_projection	ACBD7	ACBD7	414149	1410367	ILMN_2106002	5.329618
S3D_gene_probe_choice_for_projection	ACCS	ACCS	84680	3390379	ILMN_3187680	207.6524
S3D_gene_probe_choice_for_projection	ACCSL	ACCSL	390110	6130291	ILMN_1780630	-0.05229937
S3D_gene_probe_choice_for_projection	ACD	ACD	65057	1300154	ILMN_1716480	141.1353
S3D_gene_probe_choice_for_projection	ACE	ACE	1636	3830398	ILMN_1779984	-0.4971058
S3D_gene_probe_choice_for_projection	ACE2	ACE2	59272	7100468	ILMN_1667018	8.058234
S3D_gene_probe_choice_for_projection	ACER1	ACER1	125981	3360019	ILMN_3241214	2.326704
S3D_gene_probe_choice_for_projection	ACER2	ACER2	340485	520500	ILMN_3235340	49.74183
S3D_gene_probe_choice_for_projection	ACER3	ACER3	55331	1230017	ILMN_1812552	874.0971
S3D_gene_probe_choice_for_projection	ACHE	ACHE	43	1710500	ILMN_1780485	4.155247
S3D_gene_probe_choice_for_projection	ACIN1	ACIN1	22985	4860204	ILMN_1699636	514.1547
S3D_gene_probe_choice_for_projection	ACKR1	ACKR1	2532	50192	ILMN_1723684	51.3362
S3D_gene_probe_choice_for_projection	ACKR2	ACKR2	1238	460504	ILMN_1763127	9.124844
S3D_gene_probe_choice_for_projection	ACKR3	ACKR3	57007	450424	ILMN_1798360	98.97656
S3D_gene_probe_choice_for_projection	ACKR4	ACKR4	51554	1260138	ILMN_1698007	12.01257
S3D_gene_probe_choice_for_projection	ACLY	ACLY	47	4200259	ILMN_2371379	643.629
S3D_gene_probe_choice_for_projection	ACMSD	ACMSD	130013	7040450	ILMN_1727091	-7.611154
S3D_gene_probe_choice_for_projection	ACO1	ACO1	48	2450608	ILMN_1750800	201.5277
S3D_gene_probe_choice_for_projection	ACO2	ACO2	50	3930639	ILMN_1654861	98.96017
S3D_gene_probe_choice_for_projection	ACOT1	ACOT1	641371	4900438	ILMN_1715543	15.63679
S3D_gene_probe_choice_for_projection	ACOT11	ACOT11	26027	7400315	ILMN_2353978	13.1764
S3D_gene_probe_choice_for_projection	ACOT12	ACOT12	134526	2070181	ILMN_1785474	-4.291432
S3D_gene_probe_choice_for_projection	ACOT13	ACOT13	55856	1580427	ILMN_2098743	185.0313
S3D_gene_probe_choice_for_projection	ACOT2	ACOT2	10965	6290059	ILMN_1716237	34.39475
S3D_gene_probe_choice_for_projection	ACOT4	ACOT4	122970	4780709	ILMN_1764321	22.10313
S3D_gene_probe_choice_for_projection	ACOT6	ACOT6	641372	4920072	ILMN_2156699	0.2996615
S3D_gene_probe_choice_for_projection	ACOT7	ACOT7	11332	4290050	ILMN_1740265	314.7457
S3D_gene_probe_choice_for_projection	ACOT8	ACOT8	10005	2900291	ILMN_1679600	110.37
S3D_gene_probe_choice_for_projection	ACOT9	ACOT9	23597	7160592	ILMN_1658995	351.3665
S3D_gene_probe_choice_for_projection	ACOX1	ACOX1	51	1190327	ILMN_1750158	490.2097
S3D_gene_probe_choice_for_projection	ACOX2	ACOX2	8309	1010114	ILMN_1685703	11.7038
S3D_gene_probe_choice_for_projection	ACOX3	ACOX3	8310	4540010	ILMN_1743396	73.17982
S3D_gene_probe_choice_for_projection	ACP1	ACP1	52	6110672	ILMN_2344956	802.6028
S3D_gene_probe_choice_for_projection	ACP2	ACP2	53	2480025	ILMN_2104830	186.4243
S3D_gene_probe_choice_for_projection	ACP3	ACP3	55	2680725	ILMN_1758323	76.97514
S3D_gene_probe_choice_for_projection	ACP4	ACP4	93650	2690369	ILMN_1728331	43.08429
S3D_gene_probe_choice_for_projection	ACP5	ACP5	54	7050082	ILMN_2078599	231.2247
S3D_gene_probe_choice_for_projection	ACP6	ACP6	51205	4670671	ILMN_2234343	52.34218
S3D_gene_probe_choice_for_projection	ACP7	ACP7	390928	5910349	ILMN_2181432	319.9646
S3D_gene_probe_choice_for_projection	ACR	ACR	49	6900576	ILMN_1705637	6.732065
S3D_gene_probe_choice_for_projection	ACRBP	ACRBP	84519	7510253	ILMN_1784203	431.2118
S3D_gene_probe_choice_for_projection	ACRV1	ACRV1	56	2570576	ILMN_1654468	2.86096
S3D_gene_probe_choice_for_projection	ACSBG1	ACSBG1	23205	2480730	ILMN_2227011	30.14806
S3D_gene_probe_choice_for_projection	ACSBG2	ACSBG2	81616	1660376	ILMN_1730002	-5.984823
S3D_gene_probe_choice_for_projection	ACSF2	ACSF2	80221	2810253	ILMN_3236756	36.93699
S3D_gene_probe_choice_for_projection	ACSF3	ACSF3	197322	5820142	ILMN_1716832	19.12218
S3D_gene_probe_choice_for_projection	ACSL1	ACSL1	2180	1030431	ILMN_1684585	1871.672
S3D_gene_probe_choice_for_projection	ACSL3	ACSL3	2181	1580524	ILMN_2360705	355.3239
S3D_gene_probe_choice_for_projection	ACSL4	ACSL4	2182	7000307	ILMN_1683598	417.9252
S3D_gene_probe_choice_for_projection	ACSL5	ACSL5	51703	7040286	ILMN_1705247	560.8072
S3D_gene_probe_choice_for_projection	ACSL6	ACSL6	23305	1190746	ILMN_1737418	23.85607
S3D_gene_probe_choice_for_projection	ACSM1	ACSM1	116285	5870669	ILMN_1661434	-13.58793
S3D_gene_probe_choice_for_projection	ACSM2A	ACSM2A	123876	630228	ILMN_1657592	-5.289658
S3D_gene_probe_choice_for_projection	ACSM2B	ACSM2B	348158	4760202	ILMN_1746128	2.532048
S3D_gene_probe_choice_for_projection	ACSM3	ACSM3	6296	6580735	ILMN_1771084	30.02312
S3D_gene_probe_choice_for_projection	ACSM4	ACSM4	341392	6980181	ILMN_1791923	-1.84552
S3D_gene_probe_choice_for_projection	ACSM5	ACSM5	54988	5290612	ILMN_3219843	9.554903
S3D_gene_probe_choice_for_projection	ACSS1	ACSS1	84532	5220377	ILMN_1752269	392.8968
S3D_gene_probe_choice_for_projection	ACSS2	ACSS2	55902	4670544	ILMN_1714197	664.3676
S3D_gene_probe_choice_for_projection	ACSS3	ACSS3	79611	2810154	ILMN_1659885	14.10195
S3D_gene_probe_choice_for_projection	ACTA1	ACTA1	58	5080132	ILMN_2125869	-8.475064
S3D_gene_probe_choice_for_projection	ACTA2	ACTA2	59	6480059	ILMN_1671703	265.1367
S3D_gene_probe_choice_for_projection	ACTB	ACTB	60	4610390	ILMN_2152131	34435.33
S3D_gene_probe_choice_for_projection	ACTBL2	ACTBL2	345651	6100600	ILMN_3246895	-3.061791
S3D_gene_probe_choice_for_projection	ACTC1	ACTC1	70	4260201	ILMN_1658660	-2.536029
S3D_gene_probe_choice_for_projection	ACTE1P	ACTE1P	399923	4850474	ILMN_1789531	-18.77254
S3D_gene_probe_choice_for_projection	ACTG1	ACTG1	71	3310424	ILMN_2053178	21758.04
S3D_gene_probe_choice_for_projection	ACTG1P17	ACTG1P17	283693	2480286	ILMN_3274790	1619.816
S3D_gene_probe_choice_for_projection	ACTG1P20	ACTG1P20	644961	7610600	ILMN_3231927	12.03292
S3D_gene_probe_choice_for_projection	ACTG1P25	ACTG1P25	148709	7050767	ILMN_1680580	11.64722
S3D_gene_probe_choice_for_projection	ACTG1P4	ACTG1P4	648740	2690747	ILMN_3236904	202.7286
S3D_gene_probe_choice_for_projection	ACTG2	ACTG2	72	4610431	ILMN_1795325	-7.980147
S3D_gene_probe_choice_for_projection	ACTL10	ACTL10	170487	7400170	ILMN_1733531	25.93074
S3D_gene_probe_choice_for_projection	ACTL6A	ACTL6A	86	5080603	ILMN_1749297	352.5728
S3D_gene_probe_choice_for_projection	ACTL6B	ACTL6B	51412	5390008	ILMN_1657855	15.29588
S3D_gene_probe_choice_for_projection	ACTL7A	ACTL7A	10881	6960669	ILMN_1717900	-14.66271
S3D_gene_probe_choice_for_projection	ACTL7B	ACTL7B	10880	7550092	ILMN_1796088	-3.839155
S3D_gene_probe_choice_for_projection	ACTL8	ACTL8	81569	1450100	ILMN_1704078	3.564919
S3D_gene_probe_choice_for_projection	ACTL9	ACTL9	284382	4590184	ILMN_1656193	-14.54074
S3D_gene_probe_choice_for_projection	ACTMAP	ACTMAP	284325	650167	ILMN_1729546	66.06797
S3D_gene_probe_choice_for_projection	ACTN1	ACTN1	87	5080364	ILMN_2232177	3359.112
S3D_gene_probe_choice_for_projection	ACTN2	ACTN2	88	3400110	ILMN_1654422	-7.147789
S3D_gene_probe_choice_for_projection	ACTN3	ACTN3	89	830348	ILMN_1665691	-5.06103
S3D_gene_probe_choice_for_projection	ACTN4	ACTN4	81	270437	ILMN_1725534	522.6148
S3D_gene_probe_choice_for_projection	ACTR10	ACTR10	55860	2630064	ILMN_1798254	398.2136
S3D_gene_probe_choice_for_projection	ACTR1A	ACTR1A	10121	4280561	ILMN_1792314	607.9797
S3D_gene_probe_choice_for_projection	ACTR1B	ACTR1B	10120	2120088	ILMN_1695821	346.9874
S3D_gene_probe_choice_for_projection	ACTR2	ACTR2	10097	5570196	ILMN_2388605	3285.128
S3D_gene_probe_choice_for_projection	ACTR3	ACTR3	10096	6940176	ILMN_1657153	833.6081
S3D_gene_probe_choice_for_projection	ACTR3B	ACTR3B	57180	5490278	ILMN_1787513	10.34288
S3D_gene_probe_choice_for_projection	ACTR3BP2	ACTR3BP2	440888	5900102	ILMN_1769703	9.03175
S3D_gene_probe_choice_for_projection	ACTR3BP5	ACTR3BP5	399746	2900202	ILMN_1706287	-4.727389
S3D_gene_probe_choice_for_projection	ACTR3C	ACTR3C	653857	3830672	ILMN_3185198	14.50843
S3D_gene_probe_choice_for_projection	ACTR5	ACTR5	79913	2690670	ILMN_1652594	72.93516
S3D_gene_probe_choice_for_projection	ACTR6	ACTR6	64431	1580168	ILMN_1697585	148.1
S3D_gene_probe_choice_for_projection	ACTR8	ACTR8	93973	270278	ILMN_1689162	55.46614
S3D_gene_probe_choice_for_projection	ACTRT1	ACTRT1	139741	2710368	ILMN_1815392	147.6909
S3D_gene_probe_choice_for_projection	ACTRT2	ACTRT2	140625	2600754	ILMN_1776442	7.675503
S3D_gene_probe_choice_for_projection	ACTRT3	ACTRT3	84517	2480615	ILMN_1782810	-8.164885
S3D_gene_probe_choice_for_projection	ACVR1	ACVR1	90	6940360	ILMN_1760490	241.8103
S3D_gene_probe_choice_for_projection	ACVR1B	ACVR1B	91	4570240	ILMN_2243308	263.5583
S3D_gene_probe_choice_for_projection	ACVR1C	ACVR1C	130399	450064	ILMN_1689217	4.123827
S3D_gene_probe_choice_for_projection	ACVR2A	ACVR2A	92	4590349	ILMN_2152711	31.01916
S3D_gene_probe_choice_for_projection	ACVR2B	ACVR2B	93	610564	ILMN_1668983	-4.421825
S3D_gene_probe_choice_for_projection	ACVR2B-AS1	ACVR2B-AS1	100128640	3710360	ILMN_3179067	9.319962
S3D_gene_probe_choice_for_projection	ACVRL1	ACVRL1	94	5910451	ILMN_3250257	26.44968
S3D_gene_probe_choice_for_projection	ACY1	ACY1	95	1400341	ILMN_1683883	20.92445
S3D_gene_probe_choice_for_projection	ACY3	ACY3	91703	1170228	ILMN_1670193	-4.723135
S3D_gene_probe_choice_for_projection	ACYP1	ACYP1	97	5910148	ILMN_1694233	185.8585
S3D_gene_probe_choice_for_projection	ACYP2	ACYP2	98	5290672	ILMN_2158705	105.4737
S3D_gene_probe_choice_for_projection	ADA	ADA	100	7210192	ILMN_1803686	690.623
S3D_gene_probe_choice_for_projection	ADA2	ADA2	51816	6200064	ILMN_1751851	2273.459
S3D_gene_probe_choice_for_projection	ADAD1	ADAD1	132612	3140326	ILMN_1745580	-6.068325
S3D_gene_probe_choice_for_projection	ADAD2	ADAD2	161931	3400424	ILMN_1745108	-14.14493
S3D_gene_probe_choice_for_projection	ADAL	ADAL	161823	5910554	ILMN_1725043	41.99343
S3D_gene_probe_choice_for_projection	ADAM10	ADAM10	102	5290300	ILMN_1718946	99.80701
S3D_gene_probe_choice_for_projection	ADAM11	ADAM11	4185	1260661	ILMN_1711374	1.649326
S3D_gene_probe_choice_for_projection	ADAM12	ADAM12	8038	6180392	ILMN_1705689	31.99423
S3D_gene_probe_choice_for_projection	ADAM15	ADAM15	8751	3440452	ILMN_1756920	1041.528
S3D_gene_probe_choice_for_projection	ADAM17	ADAM17	6868	5260546	ILMN_2121068	769.5311
S3D_gene_probe_choice_for_projection	ADAM18	ADAM18	8749	6560010	ILMN_2201386	-9.032885
S3D_gene_probe_choice_for_projection	ADAM19	ADAM19	8728	6900209	ILMN_1713751	1806.228
