base_sample_id	sample_group	projection_role
Inflammatory_30	Inflammatory	exclude_from_primary_projection
Inflammatory_31	Inflammatory	exclude_from_primary_projection
Inflammatory_32	Inflammatory	exclude_from_primary_projection
Inflammatory_33	Inflammatory	exclude_from_primary_projection
Inflammatory_34	Inflammatory	exclude_from_primary_projection
Inflammatory_35	Inflammatory	exclude_from_primary_projection
Inflammatory_36	Inflammatory	exclude_from_primary_projection
Inflammatory_37	Inflammatory	exclude_from_primary_projection
Inflammatory_38	Inflammatory	exclude_from_primary_projection
Inflammatory_39	Inflammatory	exclude_from_primary_projection
Inflammatory_40	Inflammatory	exclude_from_primary_projection
Inflammatory_41	Inflammatory	exclude_from_primary_projection
Inflammatory_42	Inflammatory	exclude_from_primary_projection
Inflammatory_43	Inflammatory	exclude_from_primary_projection
Inflammatory_44	Inflammatory	exclude_from_primary_projection
Inflammatory_45	Inflammatory	exclude_from_primary_projection
Inflammatory_46	Inflammatory	exclude_from_primary_projection
Inflammatory_47	Inflammatory	exclude_from_primary_projection
Inflammatory_48	Inflammatory	exclude_from_primary_projection
Inflammatory_49	Inflammatory	exclude_from_primary_projection
Inflammatory_50	Inflammatory	exclude_from_primary_projection
Inflammatory_51	Inflammatory	exclude_from_primary_projection
Inflammatory_52	Inflammatory	exclude_from_primary_projection
Inflammatory_53	Inflammatory	exclude_from_primary_projection
Inflammatory_54	Inflammatory	exclude_from_primary_projection
Inflammatory_55	Inflammatory	exclude_from_primary_projection
Inflammatory_56	Inflammatory	exclude_from_primary_projection
Inflammatory_57	Inflammatory	exclude_from_primary_projection
Inflammatory_58	Inflammatory	exclude_from_primary_projection
Inflammatory_59	Inflammatory	exclude_from_primary_projection
Inflammatory_60	Inflammatory	exclude_from_primary_projection
Inflammatory_61	Inflammatory	exclude_from_primary_projection
Inflammatory_62	Inflammatory	exclude_from_primary_projection
Inflammatory_63	Inflammatory	exclude_from_primary_projection
Inflammatory_64	Inflammatory	exclude_from_primary_projection
Inflammatory_65	Inflammatory	exclude_from_primary_projection
Inflammatory_66	Inflammatory	exclude_from_primary_projection
Inflammatory_67	Inflammatory	exclude_from_primary_projection
Inflammatory_68	Inflammatory	exclude_from_primary_projection
Inflammatory_69	Inflammatory	exclude_from_primary_projection
Inflammatory_70	Inflammatory	exclude_from_primary_projection
Inflammatory_71	Inflammatory	exclude_from_primary_projection
Inflammatory_72	Inflammatory	exclude_from_primary_projection
Inflammatory_73	Inflammatory	exclude_from_primary_projection
